번호,브랜드,아이템,카테고리,카탈로그존재(추정·확인필요),사입가₩(추정),국제송료¥,목표이익¥,예상판매가¥,課税価格¥,면세,비고
1,VARZAR,선글라스,아이웨어,高,39000,600,2500,8080,4848,免税,경량·고마진 주력
2,VARZAR,블루라이트 안경,아이웨어,高,45000,600,2500,8800,5280,免税,남녀공용
3,TATIANA,펄 네크리스,주얼리,中~高,35000,500,2000,6940,4164,免税,상품성·여성 인기
4,TATIANA,링/이어링 세트,주얼리,中~高,25000,500,1800,5520,3312,免税,저가·반품 거의無
5,Hei,이어링,주얼리,中,40000,500,2200,7750,4650,免税,디자이너 주얼리
6,Matin Kim,로고 키링,소품,高,32000,500,2000,6580,3948,免税,앵커 브랜드(유입)
7,Matin Kim,볼캡,모자,高,49000,800,2500,9490,5694,免税,앵커·인기
8,Mardi Mercredi,볼캡,모자,高,45000,800,2500,9010,5406,免税,앵커(최인기)
9,Mardi Mercredi,에코 토트백,백(경량),高,59000,900,2500,10790,6474,免税,플라워 로고 인기
10,Mardi Mercredi,로고 양말,소품,中~高,15000,500,1200,3670,2202,免税,저가·끼워팔기·합배송
11,Mardi Mercredi,키링,소품,中~高,29000,500,1800,6000,3600,免税,선물용
12,SCULPTOR,미니백,백(경량),高,69000,1100,2800,12530,7518,免税,Y2K 인기
13,SCULPTOR,헤어클립/액세,소품,中,22000,500,1800,5170,3102,免税,경량
14,Stand Oil,미니백,백(경량),高,79000,1200,3000,14060,8436,免税,비건레더 인기
15,Marhen.J,미니백,백(경량),高,89000,1200,3000,15240,9144,免税,애플레더·면세 경계
16,Kirsh,체리 볼캡,모자,中~高,39000,800,2300,8070,4842,免税,로고 인지도
17,Covernat,로고 캡,모자,中,35000,800,2200,7490,4494,免税,남녀공용 캐주얼
18,ADLV,볼캡,모자,中~高,59000,800,2500,10680,6408,免税,스트릿 인기
